raw time,,adjusted time,, trigger
1738540686.427,,4.965000153,,0.090196
1738540686.433,,4.971000195,,0.078431
1738540686.440,,4.978000164,,0.070588
1738540686.447,,4.985000134,,0.070588
1738540686.453,,4.991000175,,0.054902
1738540686.460,,4.998000145,,0.039216
1738540686.467,,5.005000114,,0.039216
1738540686.474,,5.012000084,,0
1738540686.481,,5.019000053,,0
1738540686.487,,5.025000095,,0
1738540686.495,,5.032999992,,0
1738540686.502,,5.0400002,,1
1738540686.509,,5.04700017,,0
1738540686.516,,5.054000139,,0
1738540686.523,,5.061000109,,0
1738540686.530,,5.068000078,,0
1738540686.537,,5.075000048,,0
1738540686.544,,5.082000017,,0
1738540686.551,,5.089000225,,0
1738540686.558,,5.096000195,,0
1738540686.564,,5.101999998,,0
1738540686.571,,5.109000206,,0
1738540686.578,,5.116000175,,0
1738540686.585,,5.123000145,,0
1738540686.592,,5.130000114,,0
1738540686.599,,5.137000084,,0
1738540686.606,,5.144000053,,0
1738540686.615,,5.153000116,,0
1738540686.620,,5.157999992,,0
1738540686.627,,5.1650002,,0
1738540686.634,,5.17200017,,0
1738540686.641,,5.179000139,,0
1738540686.648,,5.186000109,,0
1738540686.655,,5.193000078,,0
1738540686.662,,5.200000048,,0
1738540686.668,,5.20600009,,0
1738540686.676,,5.214000225,,0
1738540686.683,,5.221000195,,0
1738540686.690,,5.228000164,,0
1738540686.696,,5.234000206,,0
1738540686.702,,5.24000001,,0
1738540686.710,,5.248000145,,0
1738540686.717,,5.255000114,,0
1738540686.724,,5.262000084,,0
1738540686.731,,5.269000053,,0
1738540686.739,,5.277000189,,0
1738540686.745,,5.282999992,,0
1738540686.752,,5.2900002,,0
1738540686.759,,5.29700017,,0
1738540686.766,,5.304000139,,0
1738540686.772,,5.310000181,,0
1738540686.780,,5.318000078,,0
1738540686.787,,5.325000048,,0
1738540686.794,,5.332000017,,0
1738540686.801,,5.339000225,,0
1738540686.808,,5.346000195,,0
1738540686.815,,5.353000164,,0
1738540686.822,,5.360000134,,0
1738540686.828,,5.366000175,,0
1738540686.835,,5.373000145,,0
1738540686.842,,5.380000114,,0
1738540686.849,,5.387000084,,0
1738540686.857,,5.395000219,,0
1738540686.864,,5.402000189,,0
1738540686.870,,5.407999992,,0
1738540686.877,,5.4150002,,0
1738540686.885,,5.423000097,,0
1738540686.891,,5.429000139,,0
1738540686.898,,5.436000109,,0
1738540686.905,,5.443000078,,0
1738540686.912,,5.450000048,,0
1738540686.919,,5.457000017,,0
1738540686.926,,5.464000225,,0
1738540686.932,,5.470000029,,0
1738540686.940,,5.478000164,,0
1738540686.947,,5.485000134,,0
1738540686.954,,5.492000103,,0
1738540686.961,,5.499000072,,0
1738540686.968,,5.506000042,,0
1738540686.975,,5.513000011,,0
1738540686.982,,5.520000219,,0
1738540686.989,,5.527000189,,0
1738540686.996,,5.534000158,,0
1738540687.002,,5.5400002,,0
1738540687.009,,5.54700017,,0
1738540687.017,,5.555000067,,0
1738540687.023,,5.561000109,,0
1738540687.030,,5.568000078,,0.058824
1738540687.037,,5.575000048,,0.101961
1738540687.044,,5.582000017,,0.101961
1738540687.051,,5.589000225,,0.152941
1738540687.058,,5.596000195,,0.196078
1738540687.064,,5.601999998,,0.196078
1738540687.071,,5.609000206,,0.239216
1738540687.079,,5.617000103,,0.294118
1738540687.086,,5.624000072,,0.294118
1738540687.093,,5.631000042,,0.333333
1738540687.100,,5.638000011,,0.380392
1738540687.106,,5.644000053,,0.380392
1738540687.113,,5.651000023,,0.427451
1738540687.120,,5.657999992,,0.482353
1738540687.127,,5.6650002,,0.521569
1738540687.135,,5.673000097,,0.521569
1738540687.142,,5.680000067,,0.576471
1738540687.149,,5.687000036,,0.631373
1738540687.155,,5.693000078,,0.631373
1738540687.162,,5.700000048,,0.686275
1738540687.169,,5.707000017,,0.733333
1738540687.176,,5.714000225,,0.733333
1738540687.183,,5.721000195,,0.784314
1738540687.190,,5.728000164,,0.839216
1738540687.197,,5.735000134,,0.894118
1738540687.204,,5.742000103,,0.894118
1738540687.211,,5.749000072,,0.945098
1738540687.217,,5.755000114,,0.984314
1738540687.225,,5.763000011,,0.984314
1738540687.232,,5.770000219,,1
1738540687.239,,5.777000189,,1
1738540687.246,,5.784000158,,1
1738540687.253,,5.791000128,,1
1738540687.260,,5.798000097,,1
1738540687.267,,5.805000067,,1
1738540687.274,,5.812000036,,1
